2855739,大秦火锅6至8人餐,大秦火锅,213,236,296,【西安市莲湖区未央区天台3路A15号大秦七十二坊内】
31436857,八旗不上火涮锅超值双人餐,八旗不上火京味涮锅,107,109,184,【西安市雁塔区吉祥路233号（金花苑西侧）】
38356414,100元代金券！免费WiFi！,2068香辣虾(陕西总店),18784,86,100,【西安市未央区未央路69号方新村公交车站华迪大厦1楼】【西安市周至县老城东街158号崇文苑门口】【郑州市巩义市其他新兴路与桐本路交叉口西北角】
30930820,不上火京味涮锅50元代金券,八旗不上火京味涮锅,330,42,50,【西安市雁塔区吉祥路233号（金花苑西侧）】
31445609,八旗不上火涮锅豪华四人餐,八旗不上火京味涮锅,45,209,316,【西安市雁塔区吉祥路233号（金花苑西侧）】
40821694,味记煌焖锅4-6人餐,味记煌养生焖锅,20,88,140,【西安市户县草堂路兴伦购物中心2楼东区娄敬路与草堂路交叉口南100米】
40821415,味记煌川菜2-3人餐,味记煌养生焖锅,2,59,85,【西安市户县草堂路兴伦购物中心2楼东区娄敬路与草堂路交叉口南100米】
40821522,味记煌美味五人餐！,味记煌养生焖锅,5,79,128,【西安市户县草堂路兴伦购物中心2楼东区娄敬路与草堂路交叉口南100米】
40817994,美味双人餐！,味记煌养生焖锅,0,39,70,【西安市户县草堂路兴伦购物中心2楼东区娄敬路与草堂路交叉口南100米】
40821609,味记煌焖锅3-4人餐,味记煌养生焖锅,8,68,94,【西安市户县草堂路兴伦购物中心2楼东区娄敬路与草堂路交叉口南100米】
37902553,味记煌100元代金券,味记煌养生焖锅,335,88,100,【西安市户县草堂路兴伦购物中心2楼东区娄敬路与草堂路交叉口南100米】
38924503,听说私房火锅2人餐,听说私房火锅,2,99,248,【西安市高新区科技路与唐延路十字新西蓝小区7号楼3单元301室】
3920677,响锣牛寨100元代金券,响锣牛寨真味火锅,2964,89,100,【西安市长安区府东一路长安新天地南餐-1F】
38344469,128元1-2人服务,响锣牛寨真味火锅,158,128,178,【西安市长安区府东一路长安新天地南餐-1F】
38924871,100元代金券！,听说私房火锅,2,79,100,【西安市高新区科技路与唐延路十字新西蓝小区7号楼3单元301室】
30828184,响锣牛寨7至9人聚会餐,响锣牛寨真味火锅,168,368,422,【西安市长安区府东一路长安新天地南餐-1F】
35738067,大自在火锅100元代金券,大自在火锅(和平村店),2343,80,100,【西安市莲湖区三桥和平村十字西南角伯乐城市广场6层】
38269841,大自在火锅50元代金券,大自在火锅(和平村店),222,39,50,【西安市莲湖区三桥和平村十字西南角伯乐城市广场6层】
36467746,大宅门火锅100元代金券,大宅门火锅(阎良店),1254,75,100,【西安市阎良区延安街北段27号（区政务服务中心正对面）】【西安市莲湖区西关正街70号2楼】
6985967,和福顺钟楼2到3人餐！节假日通用！免费WiFi！,和福顺养生焖锅(钟楼店),564,65,148,【西安市长安区韦曲西街步行街北口长百新市购物广场3楼】【西安市莲湖区北大街28号民生国际购物中8楼心】【郑州市二七区南三环与连云路交叉口向南100米路东（橄榄城都市广场B座）】
6949362,和福顺2至3人餐,和福顺养生焖锅(钟楼店),3707,88,170,【西安市长安区韦曲西街步行街北口长百新市购物广场3楼】【西安市莲湖区北大街28号民生国际购物中8楼心】【郑州市二七区南三环与连云路交叉口向南100米路东（橄榄城都市广场B座）】
6908237,和福顺钟楼4人餐,和福顺养生焖锅(钟楼店),745,155,266,【西安市长安区韦曲西街步行街北口长百新市购物广场3楼】【西安市莲湖区北大街28号民生国际购物中8楼心】【郑州市二七区南三环与连云路交叉口向南100米路东（橄榄城都市广场B座）】
35122294,和福顺养生焖锅2到3人餐,和福顺养生焖锅(长安店),532,98,201,【西安市长安区韦曲西街步行街北口长百新市购物广场3楼】【西安市莲湖区北大街28号民生国际购物中8楼心】【郑州市二七区南三环与连云路交叉口向南100米路东（橄榄城都市广场B座）】
12369910,和福顺养生焖锅2人餐,和福顺养生焖锅(长安店),1672,78,144,【西安市长安区韦曲西街步行街北口长百新市购物广场3楼】【西安市莲湖区北大街28号民生国际购物中8楼心】【郑州市二七区南三环与连云路交叉口向南100米路东（橄榄城都市广场B座）】
41006937,和福顺养生焖锅4-5人餐,和福顺养生焖锅(长安店),10,168,320,【西安市长安区韦曲西街步行街北口长百新市购物广场3楼】【西安市莲湖区北大街28号民生国际购物中8楼心】【郑州市二七区南三环与连云路交叉口向南100米路东（橄榄城都市广场B座）】
3932221,和福顺养生焖锅4人餐,和福顺养生焖锅(长安店),1183,138,261,【西安市长安区韦曲西街步行街北口长百新市购物广场3楼】【西安市莲湖区北大街28号民生国际购物中8楼心】【郑州市二七区南三环与连云路交叉口向南100米路东（橄榄城都市广场B座）】
3923122,和福顺100元代金券,和福顺养生焖锅(长安店),1617,79,100,【西安市长安区韦曲西街步行街北口长百新市购物广场3楼】【西安市莲湖区北大街28号民生国际购物中8楼心】【郑州市二七区南三环与连云路交叉口向南100米路东（橄榄城都市广场B座）】
39255221,大憨火锅2人套餐,大憨火锅,316,66,188,【西安市碑林区东大街452号西北金行4楼】
7287286,大憨火锅3至4人套餐,大憨火锅,1150,138,282,【西安市碑林区东大街452号西北金行4楼】
39255403,大憨火锅5至6人套餐,大憨火锅,31,178,376,【西安市碑林区东大街452号西北金行4楼】
30162945,唐记老铺铜锅10至12人餐,唐记老铺老北京涮羊肉,49,580,2329,【西安市雁塔区文化大街南段博士路北口与文化大街十字口紫薇田园都市F区商业街南排向东第五家】
30162327,唐记老铺铜锅5至7人餐,唐记老铺老北京涮羊肉,8,365,949,【西安市雁塔区文化大街南段博士路北口与文化大街十字口紫薇田园都市F区商业街南排向东第五家】
38917615,LOVE鱼派3到4人餐,LOVE鱼派,36,118,193,【西安市未央区龙首北路与文景路十字西北角一二层（蜀江老号火锅隔壁）】
30162707,唐记老铺铜锅8至10人餐,唐记老铺老北京涮羊肉,5,476,1749,【西安市雁塔区文化大街南段博士路北口与文化大街十字口紫薇田园都市F区商业街南排向东第五家】
38917635,4人餐！免费WiFi！,LOVE鱼派,3,168,223,【西安市未央区龙首北路与文景路十字西北角一二层（蜀江老号火锅隔壁）】
4077342,唐记老铺4人餐,唐记老铺老北京涮羊肉,108,178,246,【西安市雁塔区文化大街南段博士路北口与文化大街十字口紫薇田园都市F区商业街南排向东第五家】
30124748,唐记老铺铜锅3至4人餐,唐记老铺老北京涮羊肉,9,260,625,【西安市雁塔区文化大街南段博士路北口与文化大街十字口紫薇田园都市F区商业街南排向东第五家】
4077301,唐记老铺双人餐,唐记老铺老北京涮羊肉,25,88,128,【西安市雁塔区文化大街南段博士路北口与文化大街十字口紫薇田园都市F区商业街南排向东第五家】
30107151,唐记老铺128元双人餐,唐记老铺老北京涮羊肉,27,128,204,【西安市雁塔区文化大街南段博士路北口与文化大街十字口紫薇田园都市F区商业街南排向东第五家】
3421441,100元代金券！节假日通用，提供免费WiFi，可叠加使用，可使用包间，免费WiFi！,唐记老铺老北京涮羊肉,105,79,100,【西安市雁塔区文化大街南段博士路北口与文化大街十字口紫薇田园都市F区商业街南排向东第五家】
4077415,唐记老铺6人餐,唐记老铺老北京涮羊肉,35,198,367,【西安市雁塔区文化大街南段博士路北口与文化大街十字口紫薇田园都市F区商业街南排向东第五家】
39562667,屋头串串香双人套餐,屋头串串香(尚勤路店),22,69,90,【西安市新城区尚勤路与东五路十字向南20米】
39563090,4人餐！免费WiFi！,屋头串串香(尚勤路店),12,118,197,【西安市新城区尚勤路与东五路十字向南20米】
39178764,屋头串串香100元代金券,屋头串串香(尚勤路店),9,79,100,【西安市新城区尚勤路与东五路十字向南20米】
39364594,川把式串串香100元代金券,川把式串串香火锅店,3,99,100,【西安市临潼区文化中路与健康北路交叉口东南侧85米】
41747710,拉动时代单人火锅唱吧,拉动时代自助火吧1号店,0,58,68,【西安市莲湖区劳动路南段1号西稍门十字东北角6层 （天籁村大厦6楼）】
40719545,心疼你火锅4-6人餐,心疼你火锅,13,79,353,【西安市雁塔区科技路徐家庄199号固美口腔隔壁】
40719410,心疼你火锅2人餐,心疼你火锅,0,79,184,【西安市雁塔区科技路徐家庄199号固美口腔隔壁】
40719614,10人餐！免费WiFi！,心疼你火锅,0,388,571,【西安市雁塔区科技路徐家庄199号固美口腔隔壁】
40719018,100元代金券！免费WiFi！,心疼你火锅,0,78,100,【西安市雁塔区科技路徐家庄199号固美口腔隔壁】
38601593,尚捞全天双人自助火锅,尚捞港式回转捞吧,131,73.6,79.8,【西安市新城区万寿路地铁站左右里购物广场二层】
38592683,尚捞全天单人自助火锅,尚捞港式回转捞吧,238,36.9,39.9,【西安市新城区万寿路地铁站左右里购物广场二层】
38601609,全天4人自助火锅1套！免费WiFi！,尚捞港式回转捞吧,16,146.9,159.6,【西安市新城区万寿路地铁站左右里购物广场二层】
40682431,擂神老火锅100元代金券,擂神老火锅,4,88,100,【西安市高新区唐延路万达one北侧步行街（万达5号门出向右大约50米）】
40668021,100元代金券！可使用包间，免费停车，免费WiFi！,擂神老火锅,11,79.9,100,【西安市高新区唐延路万达one北侧步行街（万达5号门出向右大约50米）】
12892904,川渝火锅50代金券,川渝火锅,22,45,50,【西安市未央区草滩一路长乐西苑西门长乐购物中心3楼美食城B5】
39233010,聚乐周末生日求婚团建聚会趴,摩尔庄园时尚轰趴馆,1,498,2310,【西安市雁塔区小寨东路11号壹又贰分之壹国际公寓B座1112室】
38914343,摩尔4人麻将套餐,摩尔庄园时尚轰趴馆,1,128,158,【西安市雁塔区小寨东路11号壹又贰分之壹国际公寓B座1112室】
38830232,聚乐周内生日求婚告白团建趴,摩尔庄园时尚轰趴馆,6,378.1,2290,【西安市雁塔区小寨东路11号壹又贰分之壹国际公寓B座1112室】
